instance,cls,method,width,eps_bar,rel_width,coverage
int__tai20_15_03,20_15,GP-rob1,1.0,4.6133,9.1868,1.0000
int__tai20_15_03,20_15,GP-rob1,1.2,5.6423,,1.0000
int__tai20_15_03,20_15,GP-rob1,1.4,6.1553,,1.0000
int__tai20_15_03,20_15,GP-rob1-nw,1.0,5.9408,12.7445,1.0000
int__tai20_15_03,20_15,GP-rob1-nw,1.2,6.4170,,1.0000
int__tai20_15_03,20_15,GP-rob1-nw,1.4,7.4176,,1.0000
int__tai20_15_03,20_15,GP-rob4,1.0,5.2334,8.8745,1.0000
int__tai20_15_03,20_15,GP-rob4,1.2,6.0541,,1.0000
int__tai20_15_03,20_15,GP-rob4,1.4,6.9834,,1.0000
int__tai20_15_04,20_15,GP,1.0,7.1590,13.2020,1.0000
int__tai20_15_04,20_15,GP,1.2,9.0451,,1.0000
int__tai20_15_04,20_15,GP,1.4,10.8704,,1.0000
int__tai20_15_04,20_15,EST,1.0,6.2927,12.6299,1.0000
int__tai20_15_04,20_15,EST,1.2,7.7982,,1.0000
int__tai20_15_04,20_15,EST,1.4,8.9053,,1.0000
int__tai20_15_04,20_15,GT-MWKR,1.0,6.7478,12.8440,1.0000
int__tai20_15_04,20_15,GT-MWKR,1.2,7.8720,,1.0000
int__tai20_15_04,20_15,GT-MWKR,1.4,8.8822,,1.0000
int__tai20_15_04,20_15,GP-nowidth,1.0,6.7802,13.8472,1.0000
int__tai20_15_04,20_15,GP-nowidth,1.2,8.2967,,1.0000
int__tai20_15_04,20_15,GP-nowidth,1.4,9.5674,,1.0000
int__tai20_15_04,20_15,GP-rob1,1.0,3.5349,7.6561,1.0000
int__tai20_15_04,20_15,GP-rob1,1.2,4.3803,,1.0000
int__tai20_15_04,20_15,GP-rob1,1.4,5.1729,,1.0000
int__tai20_15_04,20_15,GP-rob1-nw,1.0,6.9211,12.8514,1.0000
int__tai20_15_04,20_15,GP-rob1-nw,1.2,8.6303,,1.0000
int__tai20_15_04,20_15,GP-rob1-nw,1.4,10.0866,,1.0000
int__tai20_15_04,20_15,GP-rob4,1.0,5.2631,9.2545,1.0000
int__tai20_15_04,20_15,GP-rob4,1.2,6.7205,,1.0000
int__tai20_15_04,20_15,GP-rob4,1.4,7.6865,,1.0000
int__tai20_15_05,20_15,GP,1.0,6.2739,12.8041,1.0000
int__tai20_15_05,20_15,GP,1.2,7.1166,,1.0000
int__tai20_15_05,20_15,GP,1.4,8.3377,,1.0000
int__tai20_15_05,20_15,EST,1.0,6.7587,15.1752,1.0000
int__tai20_15_05,20_15,EST,1.2,7.8556,,1.0000
int__tai20_15_05,20_15,EST,1.4,8.9390,,1.0000
int__tai20_15_05,20_15,GT-MWKR,1.0,7.5698,14.4695,1.0000
int__tai20_15_05,20_15,GT-MWKR,1.2,8.9369,,1.0000
int__tai20_15_05,20_15,GT-MWKR,1.4,10.3276,,1.0000
int__tai20_15_05,20_15,GP-nowidth,1.0,7.4037,15.2522,1.0000
int__tai20_15_05,20_15,GP-nowidth,1.2,9.2698,,1.0000
int__tai20_15_05,20_15,GP-nowidth,1.4,10.5392,,1.0000
int__tai20_15_05,20_15,GP-rob1,1.0,5.6328,9.8584,1.0000
int__tai20_15_05,20_15,GP-rob1,1.2,6.9019,,1.0000
int__tai20_15_05,20_15,GP-rob1,1.4,7.7377,,1.0000
int__tai20_15_05,20_15,GP-rob1-nw,1.0,6.5521,12.8906,1.0000
int__tai20_15_05,20_15,GP-rob1-nw,1.2,7.4059,,1.0000
int__tai20_15_05,20_15,GP-rob1-nw,1.4,8.6783,,1.0000
int__tai20_15_05,20_15,GP-rob4,1.0,5.4903,9.8272,1.0000
int__tai20_15_05,20_15,GP-rob4,1.2,6.8660,,1.0000
int__tai20_15_05,20_15,GP-rob4,1.4,7.5549,,1.0000
int__tai20_15_06,20_15,GP,1.0,6.2294,13.4267,1.0000
int__tai20_15_06,20_15,GP,1.2,7.5397,,1.0000
int__tai20_15_06,20_15,GP,1.4,8.6116,,1.0000
int__tai20_15_06,20_15,EST,1.0,6.1844,13.4684,1.0000
int__tai20_15_06,20_15,EST,1.2,7.7222,,1.0000
int__tai20_15_06,20_15,EST,1.4,9.0300,,1.0000
int__tai20_15_06,20_15,GT-MWKR,1.0,8.0531,14.7010,1.0000
int__tai20_15_06,20_15,GT-MWKR,1.2,8.9960,,1.0000
int__tai20_15_06,20_15,GT-MWKR,1.4,10.6623,,1.0000
int__tai20_15_06,20_15,GP-nowidth,1.0,8.6298,16.5320,1.0000
int__tai20_15_06,20_15,GP-nowidth,1.2,9.7003,,1.0000
int__tai20_15_06,20_15,GP-nowidth,1.4,11.2940,,1.0000
int__tai20_15_06,20_15,GP-rob1,1.0,6.6614,11.9144,1.0000
int__tai20_15_06,20_15,GP-rob1,1.2,7.8386,,1.0000
int__tai20_15_06,20_15,GP-rob1,1.4,8.6095,,1.0000
int__tai20_15_06,20_15,GP-rob1-nw,1.0,6.7020,13.3581,1.0000
int__tai20_15_06,20_15,GP-rob1-nw,1.2,7.9327,,1.0000
int__tai20_15_06,20_15,GP-rob1-nw,1.4,8.7832,,1.0000
int__tai20_15_06,20_15,GP-rob4,1.0,5.9499,10.6667,1.0000
int__tai20_15_06,20_15,GP-rob4,1.2,7.1941,,1.0000
int__tai20_15_06,20_15,GP-rob4,1.4,8.8018,,1.0000
int__tai20_15_07,20_15,GP,1.0,6.6281,13.0369,1.0000
int__tai20_15_07,20_15,GP,1.2,7.7469,,1.0000
int__tai20_15_07,20_15,GP,1.4,8.4039,,1.0000
int__tai20_15_07,20_15,EST,1.0,6.1926,13.9074,1.0000
int__tai20_15_07,20_15,EST,1.2,7.4180,,1.0000
int__tai20_15_07,20_15,EST,1.4,7.5906,,1.0000
int__tai20_15_07,20_15,GT-MWKR,1.0,7.2615,14.4102,1.0000
int__tai20_15_07,20_15,GT-MWKR,1.2,8.5602,,1.0000
int__tai20_15_07,20_15,GT-MWKR,1.4,9.7961,,1.0000
int__tai20_15_07,20_15,GP-nowidth,1.0,7.1292,13.5725,1.0000
int__tai20_15_07,20_15,GP-nowidth,1.2,8.2319,,1.0000
int__tai20_15_07,20_15,GP-nowidth,1.4,10.3146,,1.0000
int__tai20_15_07,20_15,GP-rob1,1.0,5.5879,12.2631,1.0000
int__tai20_15_07,20_15,GP-rob1,1.2,6.4751,,1.0000
int__tai20_15_07,20_15,GP-rob1,1.4,7.4804,,1.0000
int__tai20_15_07,20_15,GP-rob1-nw,1.0,6.4356,13.0719,1.0000
int__tai20_15_07,20_15,GP-rob1-nw,1.2,7.1909,,1.0000
int__tai20_15_07,20_15,GP-rob1-nw,1.4,8.2794,,1.0000
int__tai20_15_07,20_15,GP-rob4,1.0,6.0056,11.0228,1.0000
int__tai20_15_07,20_15,GP-rob4,1.2,6.7669,,1.0000
int__tai20_15_07,20_15,GP-rob4,1.4,8.2880,,1.0000
int__tai20_15_08,20_15,GP,1.0,6.6981,13.4587,1.0000
int__tai20_15_08,20_15,GP,1.2,7.8540,,1.0000
int__tai20_15_08,20_15,GP,1.4,8.6192,,1.0000
int__tai20_15_08,20_15,EST,1.0,5.9821,14.0874,1.0000
int__tai20_15_08,20_15,EST,1.2,7.0717,,1.0000
int__tai20_15_08,20_15,EST,1.4,7.7055,,1.0000
int__tai20_15_08,20_15,GT-MWKR,1.0,6.6088,13.0028,1.0000
int__tai20_15_08,20_15,GT-MWKR,1.2,7.6936,,1.0000
int__tai20_15_08,20_15,GT-MWKR,1.4,8.8731,,1.0000
